#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7012
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.78000 0.0008513300 0.0089029500 0.0114932900 0.9787524300 0.0000281325 0.0000888962 0.0001131110 0.0001473386 2.3049841753 0.0274815612 0.8913509833 0.0617583652
0.79000 0.0008332700 0.0086775200 0.0112877200 0.9792014900 0.0000280324 0.0000896766 0.0001033973 0.0001452816 2.2981598309 0.0280375814 0.8760174846 0.0574921298
0.80000 0.0008183000 0.0084153100 0.0110820000 0.9796843900 0.0000294370 0.0000999833 0.0000900540 0.0001326664 2.2851934103 0.0282917893 0.8495007790 0.0619887856
0.81000 0.0007979500 0.0081930000 0.0108724300 0.9801366200 0.0000302713 0.0000822925 0.0001060855 0.0001415867 2.2874162047 0.0320030519 0.8559702272 0.0748908356
0.82000 0.0007752300 0.0079796100 0.0106689800 0.9805761800 0.0000286522 0.0000916990 0.0001067156 0.0001455793 2.2753114861 0.0292963800 0.8265934129 0.0686834814
0.83000 0.0007606500 0.0077579800 0.0104970200 0.9809843500 0.0000263999 0.0000896408 0.0000999705 0.0001337087 2.2724361608 0.0299226141 0.8304041134 0.0629089435
0.84000 0.0007513400 0.0075541500 0.0102798700 0.9814146400 0.0000271339 0.0000954232 0.0000902389 0.0001273649 2.2611048658 0.0262038071 0.8069115354 0.0611611106
0.85000 0.0007281400 0.0073561400 0.0101260900 0.9817896300 0.0000314996 0.0000820637 0.0000881113 0.0001219041 2.2531645843 0.0290787835 0.7905329144 0.0684244439
0.86000 0.0007084700 0.0071562800 0.0099470100 0.9821882400 0.0000247759 0.0000969482 0.0000954957 0.0001415799 2.2522463339 0.0322235322 0.7878647147 0.0676196520
0.87000 0.0006921800 0.0069760900 0.0097802400 0.9825514900 0.0000266327 0.0000860121 0.0001005358 0.0001339601 2.2400589830 0.0298081549 0.7680326966 0.0726281262
0.88000 0.0006829100 0.0067837600 0.0095958800 0.9829374500 0.0000271677 0.0000760687 0.0001021674 0.0001200737 2.2427476085 0.0263163840 0.7703607374 0.0582797775
0.89000 0.0006647200 0.0066063800 0.0094437800 0.9832851200 0.0000227228 0.0000780659 0.0000990193 0.0001139372 2.2264653064 0.0276027240 0.7373883446 0.0642168919
0.90000 0.0006551000 0.0064474900 0.0092858500 0.9836115600 0.0000253714 0.0000716540 0.0000925118 0.0001087602 2.2290943456 0.0300382479 0.7414749764 0.0632783125
0.91000 0.0006388400 0.0062804600 0.0091214000 0.9839593000 0.0000257481 0.0000740987 0.0001080780 0.0001324395 2.2199549923 0.0270097913 0.7290443209 0.0608836700
0.92000 0.0006249000 0.0061092400 0.0089917700 0.9842740900 0.0000218602 0.0000767877 0.0000951112 0.0001166191 2.2137385487 0.0307214639 0.7109409041 0.0684615586
0.93000 0.0006118000 0.0059510000 0.0088188600 0.9846183400 0.0000241439 0.0000751916 0.0000948373 0.0001229184 2.2118920900 0.0304357634 0.7152463325 0.0689721692
0.94000 0.0005971300 0.0058002700 0.0086876200 0.9849149800 0.0000219557 0.0000790823 0.0000982393 0.0001225004 2.2019298251 0.0293991119 0.6950490988 0.0700708293
0.95000 0.0005829300 0.0056445600 0.0085244000 0.9852481100 0.0000210829 0.0000769728 0.0000905346 0.0001269618 2.1993689118 0.0255011866 0.6860864449 0.0674226799
0.96000 0.0005722600 0.0054951400 0.0083835300 0.9855490700 0.0000218219 0.0000694393 0.0000948423 0.0001253267 2.1929088403 0.0272611192 0.6722874745 0.0622066859
0.97000 0.0005555500 0.0053447200 0.0082482400 0.9858514900 0.0000229718 0.0000788961 0.0000827071 0.0001017504 2.1949864153 0.0315077562 0.6771388737 0.0731065992
0.98000 0.0005445100 0.0052233100 0.0080994100 0.9861327700 0.0000242193 0.0000704791 0.0000968602 0.0001286626 2.1883806272 0.0265463078 0.6636603635 0.0657883313
0.99000 0.0005319100 0.0051027000 0.0079804900 0.9863849000 0.0000243464 0.0000703307 0.0000942553 0.0001193741 2.1813524907 0.0265867683 0.6544256034 0.0672813068
1.00000 0.0005196000 0.0049575900 0.0078570800 0.9866657300 0.0000223972 0.0000635923 0.0000901957 0.0001200960 2.1750740236 0.0260511366 0.6417899736 0.0618476689
