#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7000
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.64000 0.0005037500 0.0106837400 0.1299882400 0.8588242700 0.0000223834 0.0001086637 0.0003116824 0.0003161062 2.0864575561 0.0262672261 0.5615474256 0.0838642668
0.65000 0.0004996600 0.0104063100 0.1275605500 0.8615334800 0.0000231932 0.0001107953 0.0002886395 0.0003024897 2.0822640355 0.0220278141 0.5572139043 0.0776319356
0.66000 0.0004837900 0.0101025900 0.1253280600 0.8640855600 0.0000207029 0.0001071346 0.0003307527 0.0003330718 2.0770290812 0.0233915408 0.5451254537 0.0929980170
0.67000 0.0004751500 0.0098163300 0.1230163700 0.8666921500 0.0000196250 0.0001028647 0.0003104563 0.0003222919 2.0798588316 0.0230056452 0.5457934917 0.0787967004
0.68000 0.0004675500 0.0095813700 0.1207753900 0.8691756900 0.0000208183 0.0001138600 0.0003276059 0.0003464537 2.0724995972 0.0238941845 0.5242229365 0.0874357776
0.69000 0.0004584600 0.0093199700 0.1186801800 0.8715413900 0.0000215089 0.0001035880 0.0003322936 0.0003578825 2.0731469818 0.0233124925 0.5221726905 0.0893876949
0.70000 0.0004491300 0.0090607800 0.1166162200 0.8738738700 0.0000208621 0.0000976000 0.0003472120 0.0003658090 2.0687300056 0.0249165257 0.5103525673 0.0890634994
0.71000 0.0004393800 0.0088286500 0.1145676900 0.8761642800 0.0000205774 0.0000962121 0.0003142782 0.0003370540 2.0676553565 0.0255877683 0.5095943786 0.0949942377
0.72000 0.0004316900 0.0086124200 0.1125897500 0.8783661400 0.0000216789 0.0000983739 0.0003459761 0.0003663138 2.0646313047 0.0227081089 0.4929600492 0.0862101378
0.73000 0.0004272600 0.0083912000 0.1106030900 0.8805784500 0.0000204656 0.0000911121 0.0003060278 0.0003241785 2.0581147522 0.0228224801 0.4679201865 0.0816740963
